user,star,fork,watch,issue,pull_requests,projects,commits,branches,packages,releases,contributers,license_ contributor,"license_110
    
    contributors","license_2
    
    contributors",license_AGPL-3.0,license_Apache-2.0,license_BSD-2-Clause,license_BSD-3-Clause,license_CC-BY-4.0,license_CC-BY-SA-4.0,license_CC0-1.0,license_Fetching contributors,license_GPL-2.0,license_GPL-3.0,license_ISC,license_LGPL-2.1,license_LGPL-3.0,license_MIT,license_MPL-2.0,license_MS-PL,license_OFL-1.1,license_Unlicense,license_View license,license_WTFPL,license_contributor,license_contributors
PyTorchLightning,5100,560,99,179,27,2,186,17,0,0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firmai,5100,736,325,0,0,0,146,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rushter,5100,1500,459,1,2,0,351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catboost,5000,770,189,191,9,0,10412,12,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iterative,4900,441,99,390,9,0,5345,10,0,0,227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nteract,4900,490,172,121,4,4,75,0,0,2752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pandas-profiling,4900,663,122,28,4,0,486,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
joelgrus,4800,2900,557,41,15,0,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FeatureLabs,4800,622,145,117,13,0,531,120,0,0,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h2oai,4700,1700,395,118,0,0,26875,1565,0,0,2387,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haifengl,4700,972,259,3,1,0,2060,9,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lazyprogrammer,4700,4400,557,22,22,0,263,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blue-yonder,4700,721,149,20,2,1,362,26,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rhiever,4700,1800,326,3,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leo-G,4600,726,382,3,0,7,143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
d2l-ai,4600,1200,183,15,17,0,2498,13,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
blei-lab,4500,779,296,183,35,0,1796,21,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pachyderm,4400,413,158,530,38,6,16582,1298,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
scikit-learn-contrib,4300,946,153,30,13,0,669,8,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
airbnb,4200,584,205,134,16,0,413,8,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afshinea,4200,876,195,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
okfn-brasil,4000,700,413,42,13,0,2356,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
qinwf,4000,1300,391,0,0,0,412,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yhat,3900,439,204,227,4,0,1190,11,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ujjwalkarn,3900,1300,330,0,3,0,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
snorkel-team,3800,653,164,33,3,0,2636,2,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jackzhenguo,3600,826,163,2,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nteract,3500,285,93,99,6,0,2113,7,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DataScienceSpecialization,3400,28500,895,23,69,0,261,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
drivendata,3200,1100,89,31,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fengdu78,3200,1300,132,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netflix,3200,230,165,56,11,0,54,7,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yzhao062,3100,625,119,45,5,0,1138,4,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WillKoehrsen,3000,2500,305,22,1,0,365,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
